arxiv_id,authors,updated,pdf_link,main_category,categories,title,abstract,published,link
2510.13098v1,['Hideo Aoki'],2025-10-15 02:33:02+00:00,https://arxiv.org/pdf/2510.13098v1,Superconductivity,"['Superconductivity', 'Strongly Correlated Electrons']",Flat bands in condensed-matter systems -- perspective for magnetism and superconductivity,"There is a recent upsurge of interests in flat bands in condensed-matter systems and the consequences for magnetism and superconductivity. This article highlights the physics, where peculiar quantum-mechanical mechanisms for the physical properties such as flatband ferromagnetism and flatband superconductivity that arise when the band is not trivially flat but has a strange Hilbert space with non-orthogonalisable Wannier states, which goes far beyond just the diverging density of states. Peculiar wavefunctions come from a quantum-mechanical interference and entanglement. Interesting phenomena become even remarkable when many-body interactions are introduced, culminating in flatband superconductivity as well as flatband ferromagnetism. Flatband physics harbours a very wide range physics indeed, extending to non-equilibrium physics in laser illumination, where Floquet states for topologcial superconductivity is promoted in flatbands. While these are theoretically curious, possible candidates for the flatband materials are beginning to emerge, which is also described. These provide a wide and promising outlook.",2025-10-15 02:33:02+00:00,http://arxiv.org/abs/2510.13098v1
2409.13408v1,"['Tianyu Liu', 'Xiao-Bin Qiang', 'Hai-Zhou Lu', 'X. C. Xie']",2024-09-20 11:14:54+00:00,https://arxiv.org/pdf/2409.13408v1,Mesoscale and Nanoscale Physics,"['Mesoscale and Nanoscale Physics', 'Strongly Correlated Electrons', 'Superconductivity']",Quantum geometry in condensed matter,"One of the most celebrated accomplishments of modern physics is the description of fundamental principles of nature in the language of geometry. As the motion of celestial bodies is governed by the geometry of spacetime, the motion of electrons in condensed matter can be characterized by the geometry of the Hilbert space of their wave functions. Such quantum geometry, comprising of Berry curvature and quantum metric, can thus exert profound influences on various properties of materials. The dipoles of both Berry curvature and quantum metric produce nonlinear transport. The quantum metric plays an important role in flat-band superconductors by enhancing the transition temperature. The uniformly distributed momentum-space quantum geometry stabilizes the fractional Chern insulators and results in the fractional quantum anomalous Hall effect. We here review in detail quantum geometry in condensed matter, paying close attention to its effects on nonlinear transport, superconductivity, and topological properties. Possible future research directions in this field are also envisaged.",2024-09-20 11:14:54+00:00,http://arxiv.org/abs/2409.13408v1
2509.22892v1,"['Yechan Kim', 'Hye-Sung Lee', 'Jiheon Lee', 'Jaeok Yi']",2025-09-26 20:18:21+00:00,https://arxiv.org/pdf/2509.22892v1,High Energy Physics - Phenomenology,"['High Energy Physics - Phenomenology', 'Superconductivity']",BCS superconductivity in the presence of wave dark matter,"In the established era of dark matter, condensed matter Hamiltonians-including those of superconductors-may require extension to account for the surrounding Galactic environment. We show that if dark matter is wave-like and couples weakly to electrons, superconducting parameters such as the gap and critical temperature become dynamical quantities that oscillate in time. This modifies the Bardeen-Cooper-Schrieffer framework and produces distinctive temporal signatures whose sensitivity increases with longer measurement durations. Our results illustrate how condensed matter systems, traditionally treated as isolated from their cosmological environment, may acquire new dynamical degrees of freedom from their cosmic embedding. This, in turn, offers a novel window into the dark sector.",2025-09-26 20:18:21+00:00,http://arxiv.org/abs/2509.22892v1
2602.03576v1,"['Yu-Cheng Zhu', 'Jia-Xi Zeng', 'Xin-Zheng Li']",2026-02-03 14:25:27+00:00,https://arxiv.org/pdf/2602.03576v1,Superconductivity,['Superconductivity'],Unconventional superconductivity from lattice quantum disorder,"Unconventional superconductivity presents a defining and enduring challenge in condensed matter physics. Prevailing theoretical frameworks have predominantly emphasized electronic degrees of freedom, largely neglecting the rich physics inherent in the lattice. Although conventional phonon theory offers an elegant description of structural phase diagrams and lattice dynamics, its omission of nuclear quantum many-body effects results in misleading phase diagram interpretations and, consequently, an unsound foundation for superconducting theory. Here, by incorporating nuclear quantum many-body effects within first-principles calculations, we discover a lattice quantum disordered phase in superconductors H3S and La3Ni2O7. This phase occupies a triangular region in the pressure-temperature phase diagram, whose left boundary aligns precisely with Tc of the left flank of the superconducting dome. The Tcmax of this quantum disordered phase coincides with the maximum of superconducting Tc, indicating this phase as both the origin of superconductivity on the dome's left flank and a key ingredient of its pairing mechanism. Our findings advance the understanding of high-temperature superconductivity and establish the lattice quantum disordered phase as a unifying framework, both for predicting new superconductors and for elucidating phenomena in a broader context of condensed matter physics.",2026-02-03 14:25:27+00:00,http://arxiv.org/abs/2602.03576v1
2311.01019v1,"['C. Patra', 'T. Agarwal', 'Arushi', 'P. Manna', 'N. Bhatt', 'R. S. Singh', 'R. P. Singh']",2023-11-02 06:24:09+00:00,https://arxiv.org/pdf/2311.01019v1,Superconductivity,['Superconductivity'],Superconducting Properties of Topological Semimetal 1$T$-RhSeTe,"Platinum-group transition-metal dichalcogenides have emerged as a subject of considerable interest in condensed matter physics due to their remarkable topological properties and unconventional superconducting behavior. In this study, we report the synthesis and superconducting characteristics of a new Dirac-type topological semimetallic compound 1$T$-RhSeTe. It shows type-II superconductivity with a superconducting transition temperature of 4.72 K and a high upper critical field. The coexistence of superconductivity and topological properties makes it a prime candidate for hosting topological superconductivity.",2023-11-02 06:24:09+00:00,http://arxiv.org/abs/2311.01019v1
2310.02539v2,"['Akito Daido', 'Youichi Yanase']",2025-01-13 09:11:09+00:00,https://arxiv.org/pdf/2310.02539v2,Superconductivity,"['Superconductivity', 'Mesoscale and Nanoscale Physics']",Unidirectional superconductivity and superconducting diode effect induced by dissipation,"A general principle of condensed matter physics prohibits the electric current in equilibrium. This prevents a zero-resistance state realized solely under a finite electric current, namely unidirectional superconductivity. In this paper, we propose a setup to realize the unidirectional superconductivity as a nonequilibrium steady state. We focus on the in-plane transport of atomically thin bilayer superconductors lacking the in-plane inversion symmetry and introduce dissipation by applying the out-of-plane electric field and current. By analyzing the time-dependent Ginzburg-Landau equations, we show that locally stable steady-state solutions appear only under the in-plane supercurrent when the out-of-plane electric field exceeds a threshold value. Our system also realizes the dissipation-induced superconducting diode effect up to 100% efficiency by purely electric means.",2023-10-04 02:46:16+00:00,http://arxiv.org/abs/2310.02539v2
2312.07053v1,"['Kosuke Nogaki', 'Youichi Yanase']",2023-12-12 08:08:55+00:00,https://arxiv.org/pdf/2312.07053v1,Superconductivity,"['Superconductivity', 'Strongly Correlated Electrons']",Field-induced superconductivity mediated by odd-parity multipole fluctuation,"Field-induced superconductivity has long presented a counterintuitive phenomenon and a pivotal challenge in condensed matter physics. In this Letter, we introduce a mechanism for achieving field-induced superconductivity wherein the sublattice degree of freedom and the Coulomb interaction are tightly entwined. Our multipole-resolved analysis elucidates that lifting the fluctuation degeneracy results in an unconventional Cooper pairing channel, thereby realizing field-induced superconductivity. This research substantively augments the exploration of the latent potential of strongly correlated electron systems with sublattice degrees of freedom.",2023-12-12 08:08:55+00:00,http://arxiv.org/abs/2312.07053v1
2510.09044v1,"['P. J. Scheidegger', 'K. J. Knapp', 'U. Ognjanovic', 'L. Ruf', 'S. Diesch', 'E. Scheer', 'A. Di Bernardo', 'C. L. Degen']",2025-10-10 06:26:32+00:00,https://arxiv.org/pdf/2510.09044v1,Mesoscale and Nanoscale Physics,"['Mesoscale and Nanoscale Physics', 'Superconductivity', 'Quantum Physics']",Imaging of Gate-Controlled Suppression of Superconductivity via the Meissner Effect,"It was recently discovered that supercurrents flowing through thin superconducting nanowires can be quenched by a gate voltage. This gate control of supercurrents, known as the GCS effect, could enable superconducting transistor logic. Here, we report that the GCS also manifests in a suppression of Meissner screening, establishing the phenomenon as a genuine feature of superconductivity that is not restricted to transport. Using a scanning nitrogen-vacancy magnetometer at sub-Kelvin temperatures, we image the nanoscale spatial region of GCS suppression in micron-size niobium islands. Our observations are compatible with a microscopic hot-spot model of quasiparticle generation and diffusion, and in conflict with other candidate mechanisms such as Joule heating or an electric field effect. Our work introduces an alternative means for studying quasiparticle dynamics in superconducting nanostructures, and showcases the power of local imaging techniques for understanding emergent condensed matter phenomena.",2025-10-10 06:26:32+00:00,http://arxiv.org/abs/2510.09044v1
2401.10876v3,"['L. Peyruchat', 'R. H. Rodriguez', 'J. -L. Smirr', 'R. Leone', 'Ç. Ö. Girit']",2024-11-25 15:26:53+00:00,https://arxiv.org/pdf/2401.10876v3,Mesoscale and Nanoscale Physics,"['Mesoscale and Nanoscale Physics', 'Superconductivity', 'Quantum Physics']",Spectral Signatures of Non-Trivial Topology in a Superconducting Circuit,"Topology, like symmetry, is a fundamental concept in understanding general properties of physical systems. In condensed matter, nontrivial topology may manifest itself as singular features in the energy spectrum or the quantization of electrical properties such as conductance and magnetic flux. Using microwave spectroscopy, we determine that a superconducting circuit with three Josephson tunnel junctions in parallel can possess degeneracies indicative of \emph{intrinsic} nontrivial topology. We identify three topological invariants, one of which is related to a hidden quantum mechanical supersymmetry. Measurements show that devices fabricated in different topological regimes fall on a simple phase diagram which should be robust to junction imperfections and geometric inductance. Josephson tunnel junction circuits, which are readily fabricated with conventional microlithography techniques, allow access to a wide range of topological systems that may have no condensed matter analog. Notable spectral features of these circuits, such as degeneracies and flat bands, may find use in quantum information, sensing, and metrology.",2024-01-19 18:40:30+00:00,http://arxiv.org/abs/2401.10876v3
2507.07701v1,"['M. Thumin', 'G. Bouzerar']",2025-07-10 12:30:01+00:00,https://arxiv.org/pdf/2507.07701v1,Superconductivity,['Superconductivity'],Crossing over from flat band superconductivity to conventional superconductivity,"Over the past ten years, flat band (FB) or geometric superconductivity has become a major issue in condensed matter physics due to the significant technological benefits it could offer. Observations of this unconventional form of superconductivity are unfortunately still very limited, and significant efforts are being made to search for candidate materials. Most existing theoretical studies focus on systems with strictly non-dispersive bands, which, from an experimental point of view, represents an extremely difficult technological constraint to achieve. It is therefore crucial to understand to what extent this constraint can be relaxed. In other words, to what extent can superconductivity in flat bands survive weak perturbations? The main objective of the present study is precisely to answer this essential question in detail.",2025-07-10 12:30:01+00:00,http://arxiv.org/abs/2507.07701v1
