arxiv_id,authors,updated,pdf_link,main_category,categories,title,abstract,published,link
2509.08472v2,['Jinting Guo'],2025-09-22 11:39:16+00:00,https://arxiv.org/pdf/2509.08472v2,Econometrics,"['Econometrics', 'Theoretical Economics']",On the Identification of Diagnostic Expectations: Econometric Insights from DSGE Models,"This paper provides the first econometric evidence for diagnostic expectations (DE) in DSGE models. Using the identification framework of Qu and Tkachenko (2017), I show that DE generate dynamics unreplicable under rational expectations (RE), with no RE parameterization capable of matching the autocovariance implied by DE. Consequently, DE are not observationally equivalent to RE and constitute an endogenous source of macroeconomic fluctuations, distinct from both structural frictions and exogenous shocks. From an econometric perspective, DE preserve overall model identification but weaken the identification of shock variances. To ensure robust conclusions across estimation methods and equilibrium conditions, I extend Bayesian estimation with Sequential Monte Carlo sampling to the indeterminacy domain. These findings advance the econometric study of expectations and highlight the macroeconomic relevance of diagnostic beliefs.",2025-09-10 10:20:06+00:00,http://arxiv.org/abs/2509.08472v2
2506.00856v3,"['Qiang Chen', 'Tianyang Han', 'Jin Li', 'Ye Luo', 'Zigan Wang', 'Yuxiao Wu', 'Xiaowei Zhang', 'Tuo Zhou']",2026-01-28 05:23:02+00:00,https://arxiv.org/pdf/2506.00856v3,Econometrics,"['Econometrics', 'Artificial Intelligence']",Can AI Master Econometrics? Evidence from Econometrics AI Agent on Expert-Level Tasks,"Can AI effectively perform complex econometric analysis traditionally requiring human expertise? This paper evaluates AI agents' capability to master econometrics, focusing on empirical analysis performance. We develop ``MetricsAI'', an Econometrics AI Agent built on the open-source MetaGPT framework. This agent exhibits outstanding performance in: (1) planning econometric tasks strategically, (2) generating and executing code, (3) employing error-based reflection for improved robustness, and (4) allowing iterative refinement through multi-round conversations. We construct two datasets from academic coursework materials and published research papers to evaluate performance against real-world challenges. Comparative testing shows our domain-specialized AI agent significantly outperforms both benchmark large language models (LLMs) and general-purpose AI agents. This work establishes a testbed for exploring AI's impact on social science research and enables cost-effective integration of domain expertise, making advanced econometric methods accessible to users with minimal coding skills. Furthermore, our AI agent enhances research reproducibility and offers promising pedagogical applications for econometrics teaching.",2025-06-01 06:34:42+00:00,http://arxiv.org/abs/2506.00856v3
2412.05621v1,"['Yanqin Fan', 'Hyeonseok Park']",2024-12-07 11:29:38+00:00,https://arxiv.org/pdf/2412.05621v1,Econometrics,['Econometrics'],Minimum Sliced Distance Estimation in a Class of Nonregular Econometric Models,"This paper proposes minimum sliced distance estimation in structural econometric models with possibly parameter-dependent supports. In contrast to likelihood-based estimation, we show that under mild regularity conditions, the minimum sliced distance estimator is asymptotically normally distributed leading to simple inference regardless of the presence/absence of parameter dependent supports. We illustrate the performance of our estimator on an auction model.",2024-12-07 11:29:38+00:00,http://arxiv.org/abs/2412.05621v1
2412.07031v4,"['Jens Ludwig', 'Sendhil Mullainathan', 'Ashesh Rambachan']",2025-12-05 03:36:39+00:00,https://arxiv.org/pdf/2412.07031v4,Econometrics,"['Econometrics', 'Artificial Intelligence']",Large Language Models: An Applied Econometric Framework,"Large language models (LLMs) enable researchers to analyze text at unprecedented scale and minimal cost. Researchers can now revisit old questions and tackle novel ones with rich data. We provide an econometric framework for realizing this potential in two empirical uses. For prediction problems -- forecasting outcomes from text -- valid conclusions require ``no training leakage'' between the LLM's training data and the researcher's sample, which can be enforced through careful model choice and research design. For estimation problems -- automating the measurement of economic concepts for downstream analysis -- valid downstream inference requires combining LLM outputs with a small validation sample to deliver consistent and precise estimates. Absent a validation sample, researchers cannot assess possible errors in LLM outputs, and consequently seemingly innocuous choices (which model, which prompt) can produce dramatically different parameter estimates. When used appropriately, LLMs are powerful tools that can expand the frontier of empirical economics.",2024-12-09 22:37:48+00:00,http://arxiv.org/abs/2412.07031v4
2402.07124v1,"['Helena Povoa', 'Alessandro V. M. Oliveira']",2024-02-11 08:31:41+00:00,https://arxiv.org/pdf/2402.07124v1,General Economics,['General Economics'],Econometric analysis to estimate the impact of holidays on airfares,"The number of air transportation passengers during the holidays in Brazil has grown notably since the late nineties. One of the reasons is greater competition in airfares made possible by economic liberalization. This paper presents an econometric model of airline pricing aiming at estimating the impacts of holiday periods on fares, with special emphasis on three-day holiday events. It makes use of a database with daily collected data from the internet between 2008 and 2010 for the major Brazilian city, Sao Paulo. The econometric panel data model employs a two-way error components ""within"" estimator, controlling for airline/airport-pair fixed effect along with quotation and departure months effects. The decomposition of time effects between quotation and departure month effects is the main methodological contribution of the paper. Results allow for a comparative analysis of the performance of Sao Paulo's downtown and international airports - respectively, Congonhas (CGH), and Guarulhos (GRU) airports. As a result, the price of tickets bought 60 days in advance for flights with two stops leaving from the downtown airport fell by most.",2024-02-11 08:31:41+00:00,http://arxiv.org/abs/2402.07124v1
2411.11058v1,['Eldar Knar'],2024-11-17 12:45:25+00:00,https://arxiv.org/pdf/2411.11058v1,Econometrics,"['Econometrics', 'Digital Libraries', 'Physics and Society']",Econometrics and Formalism of Psychological Archetypes of Scientific Workers with Introverted Thinking Type,"The chronological hierarchy and classification of psychological types of individuals are examined. The anomalous nature of psychological activity in individuals involved in scientific work is highlighted. Certain aspects of the introverted thinking type in scientific activities are analyzed. For the first time, psychological archetypes of scientists with pronounced introversion are postulated in the context of twelve hypotheses about the specifics of professional attributes of introverted scientific activities.
  A linear regression and Bayesian equation are proposed for quantitatively assessing the econometric degree of introversion in scientific employees, considering a wide range of characteristics inherent to introverts in scientific processing. Specifically, expressions for a comprehensive assessment of introversion in a linear model and the posterior probability of the econometric (scientometric) degree of introversion in a Bayesian model are formulated.
  The models are based on several econometric (scientometric) hypotheses regarding various aspects of professional activities of introverted scientists, such as a preference for solo publications, low social activity, narrow specialization, high research depth, and so forth. Empirical data and multiple linear regression methods can be used to calibrate the equations. The model can be applied to gain a deeper understanding of the psychological characteristics of scientific employees, which is particularly useful in ergonomics and the management of scientific teams and projects. The proposed method also provides scientists with pronounced introversion the opportunity to develop their careers, focusing on individual preferences and features.",2024-11-17 12:45:25+00:00,http://arxiv.org/abs/2411.11058v1
2506.18068v1,"['Thomas O. Hancock', 'Stephane Hess', 'Charisma F. Choudhury']",2025-06-22 15:33:19+00:00,https://arxiv.org/pdf/2506.18068v1,Econometrics,['Econometrics'],"Beyond utility: incorporating eye-tracking, skin conductance and heart rate data into cognitive and econometric travel behaviour models","Choice models for large-scale applications have historically relied on economic theories (e.g. utility maximisation) that establish relationships between the choices of individuals, their characteristics, and the attributes of the alternatives. In a parallel stream, choice models in cognitive psychology have focused on modelling the decision-making process, but typically in controlled scenarios. Recent research developments have attempted to bridge the modelling paradigms, with choice models that are based on psychological foundations, such as decision field theory (DFT), outperforming traditional econometric choice models for travel mode and route choice behaviour. The use of physiological data, which can provide indications about the choice-making process and mental states, opens up the opportunity to further advance the models. In particular, the use of such data to enrich 'process' parameters within a cognitive theory-driven choice model has not yet been explored. This research gap is addressed by incorporating physiological data into both econometric and DFT models for understanding decision-making in two different contexts: stated-preference responses (static) of accomodation choice and gap-acceptance decisions within a driving simulator experiment (dynamic). Results from models for the static scenarios demonstrate that both models can improve substantially through the incorporation of eye-tracking information. Results from models for the dynamic scenarios suggest that stress measurement and eye-tracking data can be linked with process parameters in DFT, resulting in larger improvements in comparison to simpler methods for incorporating this data in either DFT or econometric models. The findings provide insights into the value added by physiological data as well as the performance of different candidate modelling frameworks for integrating such data.",2025-06-22 15:33:19+00:00,http://arxiv.org/abs/2506.18068v1
2302.14114v1,['Marouane Daoui'],2023-02-27 19:52:58+00:00,https://arxiv.org/pdf/2302.14114v1,General Economics,['General Economics'],Econometric assessment of the monetary policy shocks in Morocco: Evidence from a Bayesian Factor-Augmented VAR,"The analysis of the effects of monetary policy shocks using the common econometric models (such as VAR or SVAR) poses several empirical anomalies. However, it is known that in these econometric models the use of a large amount of information is accompanied by dimensionality problems. In this context, the approach in terms of FAVAR (Factor Augmented VAR) models tries to solve this problem. Moreover, the information contained in the factors is important for the correct identification of monetary policy shocks and it helps to correct the empirical anomalies usually encountered in empirical work. Following Bernanke, Boivin and Eliasz (2005) procedure, we will use the FAVAR model to analyze the impact of monetary policy shocks on the Moroccan economy. The model used allows us to obtain impulse response functions for all indicators in the macroeconomic dataset used (117 quarterly frequency series from 1985: Q1 to 2018: Q4) to have a more realistic and complete representation of the impact of monetary policy shocks in Morocco.",2023-02-27 19:52:58+00:00,http://arxiv.org/abs/2302.14114v1
2501.14623v1,['Jose Mauricio Gomez Julian'],2025-01-24 16:42:04+00:00,https://arxiv.org/pdf/2501.14623v1,Econometrics,"['Econometrics', 'Theoretical Economics']","Quantitative Theory of Money or Prices? A Historical, Theoretical, and Econometric Analysis","This research studies the relation between money and prices and its practical implications analyzing quarterly data from United States (1959-2022), Canada (1961-2022), United Kingdom (1986-2022), and Brazil (1996-2022). The historical, logical, and econometric consistency of the logical core of the two main theories of money is analyzed using objective bayesian and frequentist machine learning models, bayesian regularized artificial neural networks, and ensemble learning. It is concluded that money is not neutral at any time horizon and that, despite money is ultimately subordinated to prices, there is a reciprocal influence over time between money and prices which constitute a complex system. Non-neutrality is transmitted through aggregate demand and is based on the exchange value of money as a monetary unit.",2025-01-24 16:42:04+00:00,http://arxiv.org/abs/2501.14623v1
2506.06377v1,"['Giuseppe Arbia', 'Luca Morandini', 'Vincenzo Nardelli']",2025-06-04 16:30:57+00:00,https://arxiv.org/pdf/2506.06377v1,Computers and Society,"['Computers and Society', 'Machine Learning', 'Econometrics', 'Computation']",Evaluating Large Language Model Capabilities in Assessing Spatial Econometrics Research,"This paper investigates Large Language Models (LLMs) ability to assess the economic soundness and theoretical consistency of empirical findings in spatial econometrics. We created original and deliberately altered ""counterfactual"" summaries from 28 published papers (2005-2024), which were evaluated by a diverse set of LLMs. The LLMs provided qualitative assessments and structured binary classifications on variable choice, coefficient plausibility, and publication suitability. The results indicate that while LLMs can expertly assess the coherence of variable choices (with top models like GPT-4o achieving an overall F1 score of 0.87), their performance varies significantly when evaluating deeper aspects such as coefficient plausibility and overall publication suitability. The results further revealed that the choice of LLM, the specific characteristics of the paper and the interaction between these two factors significantly influence the accuracy of the assessment, particularly for nuanced judgments. These findings highlight LLMs' current strengths in assisting with initial, more surface-level checks and their limitations in performing comprehensive, deep economic reasoning, suggesting a potential assistive role in peer review that still necessitates robust human oversight.",2025-06-04 16:30:57+00:00,http://arxiv.org/abs/2506.06377v1
2312.15119v2,"['Andreas Søjmark', 'Fabrice Wunderlich']",2024-01-25 10:04:38+00:00,https://arxiv.org/pdf/2312.15119v2,Probability,"['Probability', 'Econometrics', 'Mathematical Physics', 'Statistics Theory', 'Mathematical Finance']","Functional CLTs for subordinated Lévy models in physics, finance, and econometrics","We present a simple unifying treatment of a broad class of applications from statistical mechanics, econometrics, mathematical finance, and insurance mathematics, where (possibly subordinated) Lévy noise arises as a scaling limit of some form of continuous-time random walk (CTRW). For each application, it is natural to rely on weak convergence results for stochastic integrals on Skorokhod space in Skorokhod's J1 or M1 topologies. As compared to earlier and entirely separate works, we are able to give a more streamlined account while also allowing for greater generality and providing important new insights. For each application, we first elucidate how the fundamental conclusions for J1 convergent CTRWs emerge as special cases of the same general principles, and we then illustrate how the specific settings give rise to different results for strictly M1 convergent CTRWs.",2023-12-22 23:39:26+00:00,http://arxiv.org/abs/2312.15119v2
2509.22706v1,['Kevin Momanyi'],2025-09-22 22:11:42+00:00,https://arxiv.org/pdf/2509.22706v1,Applications,"['Applications', 'Econometrics']",An Econometric Analysis of the Impact of Telecare on the Length of Stay in Hospital,"In this paper, we develop a theoretical model that links the demand for telecare to the length of stay in hospital and formulate three models that can be used to derive the treatment effect by making various assumptions about the probability distribution of the outcome measure. We then fit the models to data and estimate them using a strategy that controls for the effects of confounding variables and unobservable factors, and compare the treatment effects with that of the Propensity Score Matching (PSM) technique which adopts a quasi-experimental study design. To ensure comparability, the covariates are kept identical in all cases. An important finding that emerges from our analysis is that the treatment effects derived from our econometric models of interest are better than that obtained from an experimental study design as the latter does not account for all the relevant unobservable factors. In particular, the results show that estimating the treatment effect of telecare in the way that an experimental study design entails fails to account for the systematic variations in individuals' health production functions within each experimental arm.",2025-09-22 22:11:42+00:00,http://arxiv.org/abs/2509.22706v1
2406.00326v2,"['Paul Ghelasi', 'Florian Ziel']",2024-08-25 16:21:07+00:00,https://arxiv.org/pdf/2406.00326v2,Applications,"['Applications', 'Econometrics']",From day-ahead to mid and long-term horizons with econometric electricity price forecasting models,"The recent energy crisis starting in 2021 led to record-high gas, coal, carbon and power prices, with electricity reaching up to 40 times the pre-crisis average. This had dramatic consequences for operational and risk management prompting the need for robust econometric models for mid to long-term electricity price forecasting. After a comprehensive literature analysis, we identify key challenges and address them with novel approaches: 1) Fundamental information is incorporated by constraining coefficients with bounds derived from fundamental models offering interpretability; 2) Short-term regressors such as load and renewables can be used in long-term forecasts by incorporating their seasonal expectations to stabilize the model; 3) Unit root behavior of power prices, induced by fuel prices, can be managed by estimating same-day relationships and projecting them forward. We develop interpretable models for a range of forecasting horizons from one day to one year ahead, providing guidelines on robust modeling frameworks and key explanatory variables for each horizon. Our study, focused on Europe's largest energy market, Germany, analyzes hourly electricity prices using regularized regression methods and generalized additive models.",2024-06-01 07:00:51+00:00,http://arxiv.org/abs/2406.00326v2
2601.21749v1,"['Laurent R. Bergé', 'Kyle Butts', 'Grant McDermott']",2026-01-29 14:03:39+00:00,https://arxiv.org/pdf/2601.21749v1,Econometrics,['Econometrics'],Fast and user-friendly econometrics estimations: The R package fixest,"fixest is an R package for fast and flexible econometric estimation, providing a comprehensive toolkit for applied researchers. The package particularly excels at fixed-effects estimation, supported by a novel fixed-point acceleration algorithm implemented in C++. This algorithm achieves rapid convergence across a broad class of data contexts and further enables estimation of complex models, including those with varying slopes, in a highly efficient manner. Beyond computational speed, fixest provides a unified syntax for a wide variety of models: ordinary least squares, instrumental variables, generalized linear models, maximum likelihood, and difference-in-differences estimators. An expressive formula interface enables multiple estimations, stepwise regressions, and variable interpolation in a single call, while users can make on-the-fly inference adjustments using a variety of built-in robust standard errors. Finally, fixest provides methods for publication-ready regression tables and coefficient plots. Benchmarks against leading alternatives in R, Python, and Julia demonstrate best-in-class performance, and the paper includes many worked examples illustrating the core functionality.",2026-01-29 14:03:39+00:00,http://arxiv.org/abs/2601.21749v1
2410.00002v1,['Diego Vallarino'],2024-09-12 19:01:16+00:00,https://arxiv.org/pdf/2410.00002v1,General Economics,"['General Economics', 'Machine Learning', 'Econometrics']",Machine Learning and Econometric Approaches to Fiscal Policies: Understanding Industrial Investment Dynamics in Uruguay (1974-2010),"This paper examines the impact of fiscal incentives on industrial investment in Uruguay from 1974 to 2010. Using a mixed-method approach that combines econometric models with machine learning techniques, the study investigates both the short-term and long-term effects of fiscal benefits on industrial investment. The results confirm the significant role of fiscal incentives in driving long-term industrial growth, while also highlighting the importance of a stable macroeconomic environment, public investment, and access to credit. Machine learning models provide additional insights into nonlinear interactions between fiscal benefits and other macroeconomic factors, such as exchange rates, emphasizing the need for tailored fiscal policies. The findings have important policy implications, suggesting that fiscal incentives, when combined with broader economic reforms, can effectively promote industrial development in emerging economies.",2024-09-12 19:01:16+00:00,http://arxiv.org/abs/2410.00002v1
2309.08619v1,"['Ida Johnsson', 'M. Hashem Pesaran', 'Cynthia Fan Yang']",2023-09-09 17:05:51+00:00,https://arxiv.org/pdf/2309.08619v1,Econometrics,['Econometrics'],Structural Econometric Estimation of the Basic Reproduction Number for Covid-19 Across U.S. States and Selected Countries,"This paper proposes a structural econometric approach to estimating the basic reproduction number ($\mathcal{R}_{0}$) of Covid-19. This approach identifies $\mathcal{R}_{0}$ in a panel regression model by filtering out the effects of mitigating factors on disease diffusion and is easy to implement. We apply the method to data from 48 contiguous U.S. states and a diverse set of countries. Our results reveal a notable concentration of $\mathcal{R}_{0}$ estimates with an average value of 4.5. Through a counterfactual analysis, we highlight a significant underestimation of the $\mathcal{R}_{0}$ when mitigating factors are not appropriately accounted for.",2023-09-09 17:05:51+00:00,http://arxiv.org/abs/2309.08619v1
2411.04880v1,"['Souhir Ben Amor', 'Thomas Möbius', 'Felix Müsgens']",2024-11-07 17:17:34+00:00,https://arxiv.org/pdf/2411.04880v1,General Economics,['General Economics'],Bridging an energy system model with an ensemble deep-learning approach for electricity price forecasting,"This paper combines a techno-economic energy system model with an econometric model to maximise electricity price forecasting accuracy. The proposed combination model is tested on the German day-ahead wholesale electricity market. Our paper also benchmarks the results against several econometric alternatives. Lastly, we demonstrate the economic value of improved price estimators maximising the revenue from an electric storage resource. The results demonstrate that our integrated model improves overall forecasting accuracy by 18 %, compared to available literature benchmarks. Furthermore, our robustness checks reveal that a) the Ensemble Deep Neural Network model performs best in our dataset and b) adding output from the techno-economic energy systems model as econometric model input improves the performance of all econometric models. The empirical relevance of the forecast improvement is confirmed by the results of the exemplary storage optimisation, in which the integration of the techno-economic energy system model leads to a revenue increase of up to 10 %.",2024-11-07 17:17:34+00:00,http://arxiv.org/abs/2411.04880v1
2601.09618v1,['Alex Huang'],2026-01-14 16:43:14+00:00,https://arxiv.org/pdf/2601.09618v1,Econometrics,['Econometrics'],Journal Impact Factor and Federal Reserve Monetary Policy: An Econometric Analysis Based on 1975-2026,"The Journal Impact Factor (IF), as a core indicator of academic evaluation, has not been systematically studied in relation to its historical evolution and global macroeconomic environment. This paper employs a period-based regression analysis using long-term time series data from 1975-2026 to examine the statistical relationship between IF and Federal Reserve monetary policy (using real interest rate as a proxy variable). The study estimates three nested models using Ordinary Least Squares (OLS): (1) a baseline linear model, (2) a linear model controlling for time trends, and (3) a log-transformed model. Empirical results show that: (i) in the early period (1975-2000), there is no significant statistical relationship between IF and real interest rate ($p>0.1$); (ii) during the quantitative easing period (2001-2020), they exhibit a significant negative correlation ($β=-0.069$, $p<0.01$), meaning that for every 1 percentage point decrease in real interest rate, IF increases by approximately 6.9\%; (iii) the adjusted $R^2$ of the full-sample model reaches 0.893, indicating that real interest rate and time trends can explain 89.3\% of IF variation. This finding reveals the indirect impact of monetary policy on the academic publishing system through multiple channels such as research funding and journal pricing power, providing econometric evidence for understanding the phenomenon of ""financialization of academic capital."" This study not only enriches the literature on monetary policy transmission mechanisms but also provides a new perspective for valuation analysis of the academic publishing industry.",2026-01-14 16:43:14+00:00,http://arxiv.org/abs/2601.09618v1
