arxiv_id,authors,updated,pdf_link,main_category,categories,title,abstract,published,link
2306.01827v2,"['Angona Biswas', 'MD Abdullah Al Nasim', 'Md Shahin Ali', 'Ismail Hossain', 'Md Azim Ullah', 'Sajedul Talukder']",2023-06-07 14:42:42+00:00,https://arxiv.org/pdf/2306.01827v2,Image and Video Processing,['Image and Video Processing'],Active Learning on Medical Image,"The development of medical science greatly depends on the increased utilization of machine learning algorithms. By incorporating machine learning, the medical imaging field can significantly improve in terms of the speed and accuracy of the diagnostic process. Computed tomography (CT), magnetic resonance imaging (MRI), X-ray imaging, ultrasound imaging, and positron emission tomography (PET) are the most commonly used types of imaging data in the diagnosis process, and machine learning can aid in detecting diseases at an early stage. However, training machine learning models with limited annotated medical image data poses a challenge. The majority of medical image datasets have limited data, which can impede the pattern-learning process of machine-learning algorithms. Additionally, the lack of labeled data is another critical issue for machine learning. In this context, active learning techniques can be employed to address the challenge of limited annotated medical image data. Active learning involves iteratively selecting the most informative samples from a large pool of unlabeled data for annotation by experts. By actively selecting the most relevant and informative samples, active learning reduces the reliance on large amounts of labeled data and maximizes the model's learning capacity with minimal human labeling effort. By incorporating active learning into the training process, medical imaging machine learning models can make more efficient use of the available labeled data, improving their accuracy and performance. This approach allows medical professionals to focus their efforts on annotating the most critical cases, while the machine learning model actively learns from these annotated samples to improve its diagnostic capabilities.",2023-06-02 16:24:39+00:00,http://arxiv.org/abs/2306.01827v2
2306.00421v3,"['Md. Zihad Bin Jahangir', 'Ruksat Hossain', 'Riadul Islam', 'MD Abdullah Al Nasim', 'Md. Mahim Anjum Haque', 'Md Jahangir Alam', 'Sajedul Talukder']",2023-06-17 11:33:25+00:00,https://arxiv.org/pdf/2306.00421v3,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition', 'Machine Learning']",Introduction to Medical Imaging Informatics,"Medical imaging informatics is a rapidly growing field that combines the principles of medical imaging and informatics to improve the acquisition, management, and interpretation of medical images. This chapter introduces the basic concepts of medical imaging informatics, including image processing, feature engineering, and machine learning. It also discusses the recent advancements in computer vision and deep learning technologies and how they are used to develop new quantitative image markers and prediction models for disease detection, diagnosis, and prognosis prediction. By covering the basic knowledge of medical imaging informatics, this chapter provides a foundation for understanding the role of informatics in medicine and its potential impact on patient care.",2023-06-01 07:53:11+00:00,http://arxiv.org/abs/2306.00421v3
2305.15411v1,"['Elena-Simona Apostol', 'Ciprian-Octavian Truică']",2023-04-29 18:09:17+00:00,https://arxiv.org/pdf/2305.15411v1,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition', 'Distributed, Parallel, and Cluster Computing']",Advanced Medical Image Representation for Efficient Processing and Transfer in Multisite Clouds,"An important topic in medical research is the process of improving the images obtained from medical devices. As a consequence, there is also a need to improve medical image resolution and analysis. Another issue in this field is the large amount of stored medical data [16]. Human brain databases at medical institutes, for example, can accumulate tens of Terabytes of data per year. In this paper, we propose a novel medical image format representation based on multiple data structures that improve the information maintained in the medical images. The new representation keeps additional metadata information, such as the image class or tags for the objects found in the image. We defined our own ontology to help us classify the objects found in medical images using a multilayer neural network. As we generally deal with large data sets, we used the MapReduce paradigm in the Cloud environment to speed up the image processing. To optimize the transfer between Cloud nodes and to reduce the preprocessing time, we also propose a data compression method based on deduplication. We test our solution for image representation and efficient data transfer in a multisite cloud environment. Our proposed solution optimizes the data transfer with a time improvement of 27% on average.",2023-04-29 18:09:17+00:00,http://arxiv.org/abs/2305.15411v1
2503.08027v1,"['S M A Sharif', 'Rizwan Ali Naqvi', 'Mithun Biswas', 'Woong-Kee Loh']",2025-03-11 04:20:16+00:00,https://arxiv.org/pdf/2503.08027v1,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition']",Deep Perceptual Enhancement for Medical Image Analysis,"Due to numerous hardware shortcomings, medical image acquisition devices are susceptible to producing low-quality (i.e., low contrast, inappropriate brightness, noisy, etc.) images. Regrettably, perceptually degraded images directly impact the diagnosis process and make the decision-making manoeuvre of medical practitioners notably complicated. This study proposes to enhance such low-quality images by incorporating end-to-end learning strategies for accelerating medical image analysis tasks. To the best concern, this is the first work in medical imaging which comprehensively tackles perceptual enhancement, including contrast correction, luminance correction, denoising, etc., with a fully convolutional deep network. The proposed network leverages residual blocks and a residual gating mechanism for diminishing visual artefacts and is guided by a multi-term objective function to perceive the perceptually plausible enhanced images. The practicability of the deep medical image enhancement method has been extensively investigated with sophisticated experiments. The experimental outcomes illustrate that the proposed method could outperform the existing enhancement methods for different medical image modalities by 5.00 to 7.00 dB in peak signal-to-noise ratio (PSNR) metrics and 4.00 to 6.00 in DeltaE metrics. Additionally, the proposed method can drastically improve the medical image analysis tasks' performance and reveal the potentiality of such an enhancement method in real-world applications. Code Available: https://github.com/sharif-apu/DPE_JBHI",2025-03-11 04:20:16+00:00,http://arxiv.org/abs/2503.08027v1
2307.04771v1,"['Nafisa Labiba Ishrat Huda', 'Angona Biswas', 'MD Abdullah Al Nasim', 'Md. Fahim Rahman', 'Shoaib Ahmed']",2023-07-07 19:40:42+00:00,https://arxiv.org/pdf/2307.04771v1,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition']",Invariant Scattering Transform for Medical Imaging,"Invariant scattering transform introduces new area of research that merges the signal processing with deep learning for computer vision. Nowadays, Deep Learning algorithms are able to solve a variety of problems in medical sector. Medical images are used to detect diseases brain cancer or tumor, Alzheimer's disease, breast cancer, Parkinson's disease and many others. During pandemic back in 2020, machine learning and deep learning has played a critical role to detect COVID-19 which included mutation analysis, prediction, diagnosis and decision making. Medical images like X-ray, MRI known as magnetic resonance imaging, CT scans are used for detecting diseases. There is another method in deep learning for medical imaging which is scattering transform. It builds useful signal representation for image classification. It is a wavelet technique; which is impactful for medical image classification problems. This research article discusses scattering transform as the efficient system for medical image analysis where it's figured by scattering the signal information implemented in a deep convolutional network. A step by step case study is manifested at this research work.",2023-07-07 19:40:42+00:00,http://arxiv.org/abs/2307.04771v1
2308.05305v1,"['Wenjian Yao', 'Jiajun Bai', 'Wei Liao', 'Yuheng Chen', 'Mengjuan Liu', 'Yao Xie']",2023-08-10 02:48:57+00:00,https://arxiv.org/pdf/2308.05305v1,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition', 'Machine Learning']",From CNN to Transformer: A Review of Medical Image Segmentation Models,"Medical image segmentation is an important step in medical image analysis, especially as a crucial prerequisite for efficient disease diagnosis and treatment. The use of deep learning for image segmentation has become a prevalent trend. The widely adopted approach currently is U-Net and its variants. Additionally, with the remarkable success of pre-trained models in natural language processing tasks, transformer-based models like TransUNet have achieved desirable performance on multiple medical image segmentation datasets. In this paper, we conduct a survey of the most representative four medical image segmentation models in recent years. We theoretically analyze the characteristics of these models and quantitatively evaluate their performance on two benchmark datasets (i.e., Tuberculosis Chest X-rays and ovarian tumors). Finally, we discuss the main challenges and future trends in medical image segmentation. Our work can assist researchers in the related field to quickly establish medical segmentation models tailored to specific regions.",2023-08-10 02:48:57+00:00,http://arxiv.org/abs/2308.05305v1
2503.17540v1,"['Bin Xie', 'Yan Yan', 'Gady Agam']",2025-03-21 21:15:03+00:00,https://arxiv.org/pdf/2503.17540v1,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition']",MM-UNet: Meta Mamba UNet for Medical Image Segmentation,"State Space Models (SSMs) have recently demonstrated outstanding performance in long-sequence modeling, particularly in natural language processing. However, their direct application to medical image segmentation poses several challenges. SSMs, originally designed for 1D sequences, struggle with 3D spatial structures in medical images due to discontinuities introduced by flattening. Additionally, SSMs have difficulty fitting high-variance data, which is common in medical imaging.
  In this paper, we analyze the intrinsic limitations of SSMs in medical image segmentation and propose a unified U-shaped encoder-decoder architecture, Meta Mamba UNet (MM-UNet), designed to leverage the advantages of SSMs while mitigating their drawbacks. MM-UNet incorporates hybrid modules that integrate SSMs within residual connections, reducing variance and improving performance. Furthermore, we introduce a novel bi-directional scan order strategy to alleviate discontinuities when processing medical images.
  Extensive experiments on the AMOS2022 and Synapse datasets demonstrate the superiority of MM-UNet over state-of-the-art methods. MM-UNet achieves a Dice score of 91.0% on AMOS2022, surpassing nnUNet by 3.2%, and a Dice score of 87.1% on Synapse. These results confirm the effectiveness of integrating SSMs in medical image segmentation through architectural design optimizations.",2025-03-21 21:15:03+00:00,http://arxiv.org/abs/2503.17540v1
2307.10506v1,"['Subhashis Suara', 'Aayush Jha', 'Pratik Sinha', 'Arif Ahmed Sekh']",2023-07-20 00:06:46+00:00,https://arxiv.org/pdf/2307.10506v1,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition', 'Computers and Society']",Is Grad-CAM Explainable in Medical Images?,"Explainable Deep Learning has gained significant attention in the field of artificial intelligence (AI), particularly in domains such as medical imaging, where accurate and interpretable machine learning models are crucial for effective diagnosis and treatment planning. Grad-CAM is a baseline that highlights the most critical regions of an image used in a deep learning model's decision-making process, increasing interpretability and trust in the results. It is applied in many computer vision (CV) tasks such as classification and explanation. This study explores the principles of Explainable Deep Learning and its relevance to medical imaging, discusses various explainability techniques and their limitations, and examines medical imaging applications of Grad-CAM. The findings highlight the potential of Explainable Deep Learning and Grad-CAM in improving the accuracy and interpretability of deep learning models in medical imaging. The code is available in (will be available).",2023-07-20 00:06:46+00:00,http://arxiv.org/abs/2307.10506v1
2310.20101v2,"['Guanfang Dong', 'Anup Basu']",2023-11-07 20:41:59+00:00,https://arxiv.org/pdf/2310.20101v2,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition']",Medical Image Denosing via Explainable AI Feature Preserving Loss,"Denoising algorithms play a crucial role in medical image processing and analysis. However, classical denoising algorithms often ignore explanatory and critical medical features preservation, which may lead to misdiagnosis and legal liabilities. In this work, we propose a new denoising method for medical images that not only efficiently removes various types of noise, but also preserves key medical features throughout the process. To achieve this goal, we utilize a gradient-based eXplainable Artificial Intelligence (XAI) approach to design a feature preserving loss function. Our feature preserving loss function is motivated by the characteristic that gradient-based XAI is sensitive to noise. Through backpropagation, medical image features before and after denoising can be kept consistent. We conducted extensive experiments on three available medical image datasets, including synthesized 13 different types of noise and artifacts. The experimental results demonstrate the superiority of our method in terms of denoising performance, model explainability, and generalization.",2023-10-31 00:37:03+00:00,http://arxiv.org/abs/2310.20101v2
2505.04380v1,"['Jinhai Xiang', 'Shuai Guo', 'Qianru Han', 'Dantong Shi', 'Xinwei He', 'Xiang Bai']",2025-05-07 13:00:49+00:00,https://arxiv.org/pdf/2505.04380v1,Image and Video Processing,"['Image and Video Processing', 'Computer Vision and Pattern Recognition', 'Information Retrieval']",Tetrahedron-Net for Medical Image Registration,"Medical image registration plays a vital role in medical image processing. Extracting expressive representations for medical images is crucial for improving the registration quality. One common practice for this end is constructing a convolutional backbone to enable interactions with skip connections among feature extraction layers. The de facto structure, U-Net-like networks, has attempted to design skip connections such as nested or full-scale ones to connect one single encoder and one single decoder to improve its representation capacity. Despite being effective, it still does not fully explore interactions with a single encoder and decoder architectures. In this paper, we embrace this observation and introduce a simple yet effective alternative strategy to enhance the representations for registrations by appending one additional decoder. The new decoder is designed to interact with both the original encoder and decoder. In this way, it not only reuses feature presentation from corresponding layers in the encoder but also interacts with the original decoder to corporately give more accurate registration results. The new architecture is concise yet generalized, with only one encoder and two decoders forming a ``Tetrahedron'' structure, thereby dubbed Tetrahedron-Net. Three instantiations of Tetrahedron-Net are further constructed regarding the different structures of the appended decoder. Our extensive experiments prove that superior performance can be obtained on several representative benchmarks of medical image registration. Finally, such a ``Tetrahedron'' design can also be easily integrated into popular U-Net-like architectures including VoxelMorph, ViT-V-Net, and TransMorph, leading to consistent performance gains.",2025-05-07 13:00:49+00:00,http://arxiv.org/abs/2505.04380v1
