vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,11,False,KMeans,123.94579315185547,0.869383100148412,0.5927795171737671,0.38713450517394443,-0.2859658034796368,"{0: ['systemic risk', 'impulse response', 'monetary policy shock', 'ce production function'], 1: ['causal inference', 'treatment effect', 'observational data', 'discrete time'], 2: ['foundation model', 'large language model', 'social science', 'career history'], 3: ['flight delay', 'result suggest', 'low cost carrier', 'fleet modernization'], 4: ['time series', 'short term', 'traditional econometric model', 'artificial intelligence'], 5: ['spatial econometrics', 'spatial autoregressive model', 'model spatial', 'business creation'], 6: ['rum nn', 'discrete choice model', 'network effect', 'predictive performance'], 7: ['fixed effect', 'network econometrics', 'panel data regression', 'data regression model'], 8: ['high dimensional', 'model average', 'breakdown point', 'tail index'], 9: ['nuclear energy', 'circular economy', 'dynamic connectedness', 'add agricultural sector'], 10: ['probability measure', 'limiting distribution', 'gmm estimator', 'orthogonality condition']}",2.0,84.0,15.0,61.0,83.0,245.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,9,False,Agglomerative,115.37049865722656,0.876165640076188,0.5737050771713257,0.37522285657714183,-0.27603055979725244,"{0: ['foundation model', 'large language model', 'ai agent', 'social science'], 1: ['short term', 'time series', 'traditional econometric model', 'artificial intelligence'], 2: ['gmm estimator', 'systemic risk', 'var model', 'high dimensional'], 3: ['instrumental variable', 'finite sample', 'causal inference', 'treatment effect'], 4: ['flight delay', 'result suggest', 'low cost carrier', 'technical efficiency'], 5: ['spatial econometrics', 'spatial autoregressive model', 'spatial econometric model', 'model spatial'], 6: ['nuclear energy', 'circular economy', 'price transmission', 'climate change'], 7: ['rum nn', 'discrete choice model', 'network effect', 'predictive performance'], 8: ['fixed effect', 'network econometrics', 'data regression model', 'nonstationary regressors']}",8.0,119.0,17.0,70.0,70.0,284.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,10,False,FCM,127.33233642578125,0.9612902679450768,0.538400411605835,0.37206429218953896,-0.292128644396934,"{0: ['time series', 'short term', 'traditional econometric model', 'artificial intelligence'], 1: ['rum nn', 'discrete choice model', 'predictive performance', 'traditional econometric'], 2: ['causal inference', 'treatment effect', 'observational data', 'dynamic discrete choice'], 3: ['finite sample', 'fixed effect', 'latent variable', 'probability measure'], 4: ['spatial econometrics', 'spatial autoregressive model', 'industry sector', 'spatial econometric model'], 5: ['large language model', 'foundation model', 'ai agent', 'social science'], 6: ['nuclear energy', 'circular economy', 'agricultural commodity', 'climate change'], 7: ['flight delay', 'result suggest', 'low cost carrier', 'fleet modernization'], 8: ['systemic risk', 'impulse response', 'monetary policy shock', 'ce production function'], 9: ['high dimensional', 'regression model', 'model average', 'time series']}",53.0,69.0,60.0,73.0,95.0,350.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,11,False,Agglomerative,111.55711364746094,0.8408547468825586,0.5517231822013855,0.3793707901300074,-0.2971708126724091,"{0: ['time series', 'traditional econometric model', 'artificial intelligence', 'exchange rate'], 1: ['instrumental variable', 'finite sample', 'causal inference', 'treatment effect'], 2: ['impulse response', 'monetary policy shock', 'structural vector autoregressions', 'macroeconomic financial'], 3: ['gmm estimator', 'high dimensional', 'model average', 'tail index'], 4: ['nuclear energy', 'circular economy', 'dynamic connectedness', 'meat consumption'], 5: ['flight delay', 'result suggest', 'low cost carrier', 'fleet modernization'], 6: ['rum nn', 'discrete choice model', 'network effect', 'predictive performance'], 7: ['spatial econometrics', 'spatial autoregressive model', 'model spatial', 'local agent'], 8: ['foundation model', 'large language model', 'social science', 'foundation prior'], 9: ['fixed effect', 'time series', 'network econometrics', 'network diffusion'], 10: ['ce production function', 'employment loss', 'boldsymbol boldsymbol boldsymbol', 'output risk']}",36.0,135.0,4.0,65.0,110.0,350.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,8,False,Agglomerative,115.43670654296875,0.8834712279288427,0.5871427655220032,0.40045073341008613,-0.319065860193946,"{0: ['panel data', 'finite sample', 'causal inference', 'treatment effect'], 1: ['foundation model', 'large language model', 'ai agent', 'social science'], 2: ['gmm estimator', 'systemic risk', 'var model', 'high dimensional'], 3: ['short term', 'traditional econometric model', 'artificial intelligence', 'exchange rate'], 4: ['flight delay', 'result suggest', 'low cost carrier', 'air transport'], 5: ['spatial econometrics', 'spatial autoregressive model', 'government investment', 'model spatial'], 6: ['nuclear energy', 'circular economy', 'climate change', 'ce production function'], 7: ['discrete choice model', 'network effect', 'predictive performance', 'traditional econometric']}",4.0,117.0,20.0,56.0,163.0,360.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,15,False,Agglomerative,113.81095123291016,0.9064041371917868,0.571021318435669,0.3528683741947885,-0.2886082027602996,"{0: ['nuclear energy', 'circular economy', 'price transmission', 'agricultural commodity'], 1: ['fixed effect', 'limit theorem', 'network econometrics', 'latent variable'], 2: ['regression model', 'linear model', 'model selection', 'julia package'], 3: ['tail index', 'breakdown point', 'high dimensional', 'var model'], 4: ['flight delay', 'result suggest', 'low cost carrier', 'fleet modernization'], 5: ['systemic risk', 'impulse response', 'monetary policy shock', 'structural vector autoregressions'], 6: ['short term', 'exchange rate', 'random forest model', 'ml model'], 7: ['rum nn', 'discrete choice model', 'traditional econometric', 'structural model'], 8: ['causal inference', 'treatment effect', 'finite sample', 'optimal transport'], 9: ['large language model', 'foundation model', 'ai agent', 'social science'], 10: ['multivariate garch', 'bekk model', 'volatility forecasting', 'multivariate volatility'], 11: ['spatial econometrics', 'spatial autoregressive model', 'model spatial', 'business creation'], 12: ['dynamic discrete choice', 'discrete time', 'asian student', 'discrete choice game'], 13: ['joel horowitz', 'degree introversion', 'psychological archetype', 'econometric scientometric'], 14: ['real time', 'macroeconomic forecasting', 'time series', 'quantum reservoir compute']}",11.0,130.0,34.0,97.0,89.0,361.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,15,False,Agglomerative,109.21774291992188,0.8838853045104167,0.5708754062652588,0.3439214791558365,-0.2783039720904862,"{0: ['gmm estimator', 'high dimensional', 'regression model', 'model average'], 1: ['julia package', 'bekk model', 'multivariate garch', 'python framework temporal'], 2: ['treatment effect', 'observational data', 'optimal transport', 'health policy'], 3: ['systemic risk', 'impulse response', 'monetary policy shock', 'structural shock'], 4: ['nuclear energy', 'circular economy', 'climate change', 'meat consumption'], 5: ['traditional econometric model', 'time series', 'exchange rate', 'artificial intelligence'], 6: ['early modern', 'competition poverty', 'poverty dynamic', 'contagion dynamic'], 7: ['spatial econometrics', 'spatial autoregressive model', 'model spatial', 'spatial econometric model'], 8: ['foundation model', 'large language model', 'ai agent', 'social science'], 9: ['fixed effect', 'limit theorem', 'network econometrics', 'panel data regression'], 10: ['ce production function', 'boldsymbol boldsymbol boldsymbol', 'employment loss', 'freight volume'], 11: ['flight delay', 'result suggest', 'fleet modernization', 'low cost carrier'], 12: ['probability measure', 'orthogonality condition', 'convex regression', 'optimal pricing strategy'], 13: ['dynamic discrete choice', 'discrete time', 'discrete choice game', 'position sequence'], 14: ['rum nn', 'discrete choice model', 'network effect', 'structural model']}",12.0,148.0,21.0,115.0,74.0,370.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,11,False,KMeans,128.49307250976562,0.9318782679271738,0.5558905005455017,0.3563188193905018,-0.31830171614353026,"{0: ['cross sectional dependence', 'variational inference', 'dependence idiosyncratic volatility', 'var model'], 1: ['traditional econometric model', 'exchange rate', 'artificial intelligence', 'short term'], 2: ['fixed effect', 'limit theorem', 'asian student', 'network econometrics'], 3: ['flight delay', 'result suggest', 'fleet modernization', 'low cost carrier'], 4: ['systemic risk', 'impulse response', 'monetary policy shock', 'ce production function'], 5: ['rum nn', 'discrete choice model', 'network effect', 'predictive performance'], 6: ['treatment effect', 'discrete time', 'finite number', 'optimal transport'], 7: ['spatial econometrics', 'spatial autoregressive model', 'model spatial', 'land use'], 8: ['foundation model', 'large language model', 'social science', 'career history'], 9: ['nuclear energy', 'circular economy', 'agricultural commodity', 'add agricultural sector'], 10: ['tail index', 'breakdown point', 'limiting distribution', 'maximum likelihood']}",33.0,65.0,43.0,88.0,159.0,388.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,10,False,Agglomerative,115.41328430175781,0.8635972483044174,0.5414786338806152,0.3521490296707225,-0.2977064228917034,"{0: ['systemic risk', 'impulse response', 'monetary policy shock', 'ce production function'], 1: ['instrumental variable', 'finite sample', 'causal inference', 'treatment effect'], 2: ['time series', 'traditional econometric model', 'artificial intelligence', 'exchange rate'], 3: ['gmm estimator', 'high dimensional', 'model average', 'breakdown point'], 4: ['nuclear energy', 'circular economy', 'agricultural commodity', 'climate change'], 5: ['flight delay', 'result suggest', 'low cost carrier', 'fleet modernization'], 6: ['rum nn', 'discrete choice model', 'network effect', 'predictive performance'], 7: ['spatial econometrics', 'spatial autoregressive model', 'industry sector', 'government investment'], 8: ['large language model', 'foundation model', 'ai agent', 'social science'], 9: ['fixed effect', 'time series', 'network econometrics', 'panel data regression']}",52.0,118.0,13.0,100.0,112.0,395.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,10,False,FCM,120.7987060546875,0.9066450228994759,0.5730250477790833,0.3164415364728546,-0.2842603024404455,"{0: ['rum nn', 'discrete choice model', 'network effect', 'predictive performance'], 1: ['foundation model', 'large language model', 'ai agent', 'social science'], 2: ['causal inference', 'treatment effect', 'observational data', 'continuous time'], 3: ['probability measure', 'limiting distribution', 'gmm estimator', 'orthogonality condition'], 4: ['spatial econometrics', 'spatial autoregressive model', 'green space', 'industry sector'], 5: ['systemic risk', 'impulse response', 'monetary policy shock', 'ce production function'], 6: ['nuclear energy', 'circular economy', 'agricultural commodity', 'price transmission'], 7: ['flight delay', 'result suggest', 'technical efficiency', 'low cost carrier'], 8: ['high dimensional', 'regression model', 'model average', 'time series'], 9: ['time series', 'traditional econometric model', 'artificial intelligence', 'exchange rate']}",10.0,95.0,35.0,181.0,80.0,401.0
