vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,10,False,KMeans,129.48025512695312,1.0714406972541775,0.5116862058639526,0.4591879410164452,-0.2677919940941847,"{0: ['quantum simulator', 'quantum simulation', 'quantum computer', 'digital quantum'], 1: ['zhang rice', 'quantum material', 'optical excitation', 'light induce'], 2: ['quantum spin liquid', 'liquid crystal', 'fermi surface', 'finite momentum'], 3: ['flat band', 'band structure', '1t ta', 'heavy fermion'], 4: ['high pressure', 'superconducting property', 'ambient pressure', 'cu dope'], 5: ['kagome metal', 'charge density wave', 'superconducting state', 'density wave cdw'], 6: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 7: ['critical temperature', 'time reversal symmetry', 'vortex lattice', 'type ii'], 8: ['hubbard model', 'repulsive interaction', 'mott insulator', 'pair mechanism'], 9: ['superconducting circuit', 'washboard potential', 'driven dissipative', 'hopping strength']}",18.0,61.0,48.0,100.0,79.0,306.0
allenai/scibert_scivocab_uncased,UMAP,15,6,False,KMeans,125.15043640136719,1.0643553870958213,0.4763502776622772,0.4707079247152073,-0.259713353243066,"{0: ['quantum simulator', 'quantum simulation', 'quantum computer', 'superconducting circuit'], 1: ['organic conductor', 'superconducting material', 'high quality', 'critical parameter'], 2: ['mean field', 'fermi liquid', 'hubbard model', 'non equilibrium'], 3: ['high pressure', 'electronic structure', 'cu dope', 'pressure range'], 4: ['majorana zero mode', 'zero energy', 'cooper pair', 'edge state'], 5: ['josephson junction', 'inversion symmetry', 'order parameter', 'quantum state']}",78.0,78.0,38.0,80.0,69.0,343.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,3,False,Agglomerative,122.5684585571289,0.9891276189078306,0.5272749662399292,0.4569917002024855,-0.3004409869339228,"{0: ['critical temperature', 'charge order', 'superconducting state', 'hubbard model'], 1: ['quantum simulator', 'quantum simulation', 'non hermitian', 'superconducting circuit'], 2: ['quantum material', 'unconventional superconductivity', '1t ta', 'heavy fermion']}",1.0,93.0,10.0,106.0,143.0,353.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,6,False,FCM,145.5047607421875,1.1654413799914043,0.49459296464920044,0.4682667827626117,-0.27799425823631846,"{0: ['high pressure', 'superconducting transition temperature', 'superconducting property', 'ambient pressure'], 1: ['hubbard model', 'quantum spin liquid', 'quantum material', 'fermi liquid'], 2: ['charge order', 'kagome metal', 'charge density wave', 'density wave cdw'], 3: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 4: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 5: ['quantum material', '1t ta', 'heavy fermion', 'van der waals']}",41.0,20.0,199.0,83.0,89.0,432.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,3,False,Agglomerative,124.46598052978516,0.9693240837569107,0.4114847779273987,0.46304497464017685,-0.23119502470169495,"{0: ['critical temperature', 'charge order', 'flat band', 'superconducting state'], 1: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 2: ['flat band', 'quantum material', 'unconventional superconductivity', '1t ta']}",233.0,83.0,7.0,92.0,48.0,463.0
allenai/scibert_scivocab_uncased,UMAP,5,5,False,KMeans,134.5730438232422,1.0857642527482247,0.5211910605430603,0.40987122960547984,-0.3022658073462761,"{0: ['quantum simulation', 'quantum computer', 'superconducting circuit', 'non hermitian'], 1: ['josephson junction', 'inversion symmetry', 'wave superconductivity', 'zeeman field'], 2: ['electronic structure', 'ambient pressure', 'superconducting transition temperature', 'cu dope'], 3: ['majorana zero mode', 'zero energy', 'edge state', 'majorana fermion'], 4: ['mean field', 'fermi liquid', 'vortex lattice', 'dipole superfluids']}",4.0,50.0,67.0,225.0,152.0,498.0
tfidf,UMAP,10,8,False,KMeans,99.44168853759766,1.0871935007354792,0.5095431804656982,0.4647740755919902,-0.2922803312053365,"{0: ['quantum simulator', 'superconducting circuit', 'quantum simulation', 'quantum computer'], 1: ['charge density wave', 'time reversal symmetry', 'quantum material', 'quantum state'], 2: ['vortex lattice', 'superconducting diode effect', 'electromagnetic field', 'van der waals'], 3: ['high pressure', 'electronic structure', 'charge order', 'ambient pressure'], 4: ['moir bulk', 'orbital magnetism', 'moir superlattices', 'tight bind'], 5: ['triplet superconductivity', 'quantum spin liquid', 'charge excitation', 'zeeman field'], 6: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 7: ['hubbard model', 'quantum criticality', 'mott insulator', 'high temperature superconductivity']}",22.0,198.0,70.0,88.0,123.0,501.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,10,False,Agglomerative,116.17558288574219,1.0632768182919767,0.4953140616416931,0.41654397748833716,-0.28564011389868227,"{0: ['high pressure', 'charge order', 'high tc', 'room temperature'], 1: ['charge order', 'kagome metal', 'charge density wave', 'superconducting state'], 2: ['hubbard model', 'repulsive interaction', 'mott insulator', 'pair mechanism'], 3: ['quantum criticality', 'time reversal symmetry', 'critical temperature', 'non abelian quantum'], 4: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 5: ['flat band', 'band structure', '1t ta', 'quantum material'], 6: ['washboard potential', 'quantum material', 'photon field', 'photonic structure'], 7: ['critical parameter', 'dark spin', 'longitudinal magnetoresistance', 'quantum sensor'], 8: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 9: ['quantum spin liquid', 'triplet superconductivity', 'zeeman field', 'spin triplet']}",39.0,121.0,37.0,207.0,109.0,513.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,11,False,Agglomerative,117.9197998046875,1.1071738143790368,0.5037727355957031,0.44289597681931103,-0.2996518463252001,"{0: ['charge order', 'kagome metal', 'charge density wave', 'type ii'], 1: ['quantum criticality', 'time reversal symmetry', 'critical temperature', 'non abelian quantum'], 2: ['hubbard model', 'repulsive interaction', 'mott insulator', 'pair mechanism'], 3: ['high pressure', 'cu dope', 'electronic structure', 'strongly correlate'], 4: ['electron phonon', 'organic conductor', 'ph interaction', 'superconducting property'], 5: ['flat band', 'band structure', '1t ta', 'quantum material'], 6: ['washboard potential', 'quantum material', 'photon field', 'photonic structure'], 7: ['critical parameter', 'dark spin', 'nitrogen vacancy nv', 'nv center diamond'], 8: ['quantum simulator', 'quantum simulation', 'non hermitian', 'quantum computer'], 9: ['quantum spin liquid', 'triplet superconductivity', 'zeeman field', 'spin triplet'], 10: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle']}",29.0,111.0,102.0,136.0,136.0,514.0
tfidf,UMAP,10,9,False,KMeans,96.98878479003906,1.138871845628956,0.5130969285964966,0.46977595367985764,-0.24311652923512814,"{0: ['quantum simulator', 'superconducting circuit', 'quantum simulation', 'quantum computer'], 1: ['charge density wave', 'time reversal symmetry', 'quantum material', 'quantum state'], 2: ['triplet superconductivity', 'quantum spin liquid', 'zeeman field', 'spin triplet'], 3: ['high pressure', 'electronic structure', 'superconducting transition temperature', 'charge order'], 4: ['moir bulk', 'moir superlattices', 'orbital magnetism', 'tight bind'], 5: ['cooper pair', 'collective excitation', 'ph interaction', 'repulsive interaction'], 6: ['topological superconductivity', 'majorana zero mode', 'zero energy', 'majorana quasiparticle'], 7: ['quantum criticality', 'heavy fermion', 'mott transition', 'superconducting dome'], 8: ['vortex lattice', 'superconducting diode effect', 'electromagnetic field', 'type ii']}",15.0,212.0,156.0,81.0,53.0,517.0
