vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,10,False,Agglomerative,65.97001647949219,0.9823254512782367,0.4712437689304352,0.4370383356273796,-0.21730711422132032,"{0: ['electrical stimulation', 'real time', 'brain dynamic', 'brain network'], 1: ['foundation model', 'model neural', 'dynamical model', 'population activity'], 2: ['encode model', 'word recognition', 'emotion recognition', 'eeg signal'], 3: ['receptive field', 'population level', 'brain body environment', 'travel wave'], 4: ['entropy production rate', 'cognitive control', 'visual rivalry', 'collective decision'], 5: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 6: ['functional connectomes', 'brain function', 'structural functional', 'brain network'], 7: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 8: ['caenorhabditis elegans', 'force body', 'neuron core group', 'model variation'], 9: ['recurrent neural network', 'low dimensional', 'low rank', 'neuron model']}",79.0,168.0,18.0,25.0,22.0,312.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,11,False,Agglomerative,62.41994094848633,1.051103377377775,0.4692555367946625,0.4272215068334262,-0.3030591632106393,"{0: ['neural data', 'brain region', 'cognitive process', 'diffusion model'], 1: ['electrical stimulation', 'real time', 'brain dynamic', 'sea db'], 2: ['cognitive control', 'constant time input', 'visual rivalry', 'information theoretic'], 3: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 4: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 5: ['neuron model', 'low rank', 'recurrent neural network', 'spike neural network'], 6: ['entropy production rate', 'information processing', 'collective decision', 'multi agent'], 7: ['eeg signal', 'word recognition', 'encode model', 'emotion recognition'], 8: ['caenorhabditis elegans', 'model variation', 'utilize modworm', 'integrate series'], 9: ['receptive field', 'stimulus space', 'brain network', 'functional connectomes'], 10: ['low dimensional', 'latent space', 'latent representation', 'sub circuit']}",83.0,185.0,49.0,31.0,70.0,418.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,12,False,Agglomerative,58.44062042236328,0.9598702718457427,0.43460628390312195,0.4347011573141028,-0.15649488344124982,"{0: ['receptive field', 'population level', 'brain body environment', 'travel wave'], 1: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 2: ['emotion recognition', 'encode model', 'word recognition', 'eeg signal'], 3: ['electrical stimulation', 'brain dynamic', 'complex value', 'behavioral phase'], 4: ['entropy production rate', 'cognitive control', 'visual rivalry', 'multi agent'], 5: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 6: ['functional connectomes', 'structural functional', 'brain function', 'brain network'], 7: ['foundation model', 'model neural', 'dynamical model', 'population activity'], 8: ['caenorhabditis elegans', 'neuron core group', 'force body', 'switch forward reversal'], 9: ['recurrent neural network', 'low dimensional', 'low rank', 'neuron model'], 10: ['sea db', 'resource constrain', 'ai base surrogate', 'base surrogate brain'], 11: ['analysis smoothing surrogating', 'continuum correlation analysis', 'kernel bandwidth', 'relevance balance continuum']}",171.0,203.0,11.0,27.0,10.0,422.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,15,False,Agglomerative,57.946598052978516,0.9723965522308079,0.4272138476371765,0.41565283566770206,-0.1548852432932924,"{0: ['encode model', 'word recognition', 'emotion recognition', 'eeg signal'], 1: ['brain body environment', 'constant time input', 'prediction error', 'world model'], 2: ['cognitive control', 'collective decision', 'multi agent', 'visual rivalry'], 3: ['electrical stimulation', 'brain dynamic', 'multi scale', 'behavioral phase'], 4: ['recurrent neural network', 'low dimensional', 'low rank', 'neuron model'], 5: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 6: ['time scale', 'memory retrieval', 'discrete fractional order', 'cost function'], 7: ['foundation model', 'model neural', 'brain tumor', 'dynamical model'], 8: ['caenorhabditis elegans', 'utilize modworm', 'integrate series', 'premotor neuron'], 9: ['global oscillation', 'neural network', 'excitatory inhibitory', 'spike neuron'], 10: ['sea db', 'bio realistic', 'ai base surrogate', 'base surrogate brain'], 11: ['similarity population spike', 'rebacca relevance balance', 'analysis smoothing surrogating', 'balance continuum correlation'], 12: ['work memory', 'stimulus space', 'riemannian manifold', 'low dimensional'], 13: ['functional connectomes', 'structural functional', 'brain function', 'brain network'], 14: ['entropy production rate', 'contribution oscillatory mode', 'dynamical property', 'housekeeping entropy production']}",185.0,208.0,14.0,44.0,8.0,459.0
allenai/scibert_scivocab_uncased,UMAP,15,5,False,Agglomerative,88.96722412109375,1.1509329087386497,0.47357377409935,0.3901595898776352,-0.33896502438586285,"{0: ['brain network', 'brain criticality', 'brain function', 'electrical stimulation'], 1: ['rest state', 'brain network', 'sub circuit', 'frequency specific'], 2: ['state art', 'deep learning', 'latent representation', 'population activity'], 3: ['mean field', 'global oscillation', 'spike neuron', 'type neural'], 4: ['signal propagation', 'word recognition', 'cognitive control', 'visual rivalry']}",72.0,40.0,159.0,73.0,123.0,467.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,10,False,Agglomerative,63.819278717041016,1.029922202708454,0.4531031548976898,0.40480767783305194,-0.32312865178916955,"{0: ['low dimensional', 'prediction error', 'latent space', 'neural population'], 1: ['electrical stimulation', 'real time', 'brain dynamic', 'sea db'], 2: ['neural data', 'brain region', 'cognitive process', 'brain tumor'], 3: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 4: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 5: ['neuron model', 'low rank', 'recurrent neural network', 'spike neural network'], 6: ['entropy production rate', 'information processing', 'collective decision', 'multi agent'], 7: ['eeg signal', 'emotion recognition', 'word recognition', 'encode model'], 8: ['caenorhabditis elegans', 'model variation', 'utilize modworm', 'integrate series'], 9: ['receptive field', 'stimulus space', 'brain network', 'functional fluctuation']}",129.0,176.0,41.0,54.0,97.0,497.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,8,False,KMeans,73.3652572631836,1.0586459599642688,0.5072035193443298,0.35429119442802803,-0.35350148747064203,"{0: ['intrinsic frequency', 'brain dynamic', 'rest state', 'noise interval'], 1: ['foundation model', 'low dimensional', 'latent space', 'dynamic model'], 2: ['graph learn', 'energy landscape model', 'receptive field', 'work memory decline'], 3: ['mean field', 'global oscillation', 'time scale', 'spike neuron'], 4: ['brain criticality', 'entropy production rate', 'cognitive control', 'visual rivalry'], 5: ['word recognition', 'encode model', 'emotion recognition', 'eeg signal'], 6: ['recurrent neural network', 'neuron model', 'low dimensional', 'dynamical model'], 7: ['electrical stimulation', 'real time', 'brain dynamic', 'multi scale']}",30.0,117.0,58.0,129.0,164.0,498.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,12,False,Agglomerative,59.070777893066406,1.1212563868891021,0.48076149821281433,0.37911428711349937,-0.271466336396752,"{0: ['brain criticality', 'electrical stimulation', 'brain dynamic', 'multi scale'], 1: ['emotion recognition', 'word recognition', 'encode model', 'eeg signal'], 2: ['receptive field', 'low dimensional', 'prediction error', 'population level'], 3: ['recurrent neural network', 'dynamical model', 'neural population', 'low dimensional'], 4: ['intrinsic frequency', 'rest state', 'brain dynamic', 'brain network'], 5: ['foundation model', 'brain body environment', 'latent space', 'self supervise'], 6: ['time scale', 'chaotic dynamic', 'discrete fractional order', 'cost function'], 7: ['information processing', 'entropy production rate', 'neural information', 'contribution oscillatory mode'], 8: ['cognitive control', 'collective decision', 'multi agent', 'visual rivalry'], 9: ['caenorhabditis elegans', 'model variation', 'utilize modworm', 'integrate series'], 10: ['bio realistic', 'sea db', 'jr nmm parameter', 'resource constrain'], 11: ['global oscillation', 'excitatory inhibitory', 'spike neuron', 'spike train']}",60.0,198.0,120.0,79.0,43.0,500.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,9,False,Agglomerative,60.9307975769043,1.039511004392539,0.42335718870162964,0.3938993571299954,-0.2850509631058602,"{0: ['low dimensional', 'recurrent neural network', 'neural recording', 'receptive field'], 1: ['surrogate brain', 'electrical stimulation', 'real time', 'brain dynamic'], 2: ['word recognition', 'encode model', 'emotion recognition', 'eeg signal'], 3: ['foundation model', 'model neural', 'dynamical model', 'brain tumor'], 4: ['entropy production rate', 'cognitive control', 'collective decision', 'multi agent'], 5: ['brain criticality', 'brain network', 'intrinsic frequency', 'rest state'], 6: ['functional connectomes', 'structural functional', 'brain network', 'product cordial'], 7: ['mean field', 'global oscillation', 'excitatory inhibitory', 'time scale'], 8: ['caenorhabditis elegans', 'model variation', 'calcium dynamic muscle', 'utilize modworm']}",194.0,194.0,45.0,66.0,57.0,556.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,6,False,FCM,75.00665283203125,1.2023716219004834,0.4635871946811676,0.40638703137611404,-0.314270089857513,"{0: ['mean field', 'excitatory inhibitory', 'global oscillation', 'time scale'], 1: ['brain criticality', 'long range', 'brain dynamic', 'brain connectivity'], 2: ['foundation model', 'low dimensional', 'latent space', 'latent representation'], 3: ['surrogate brain', 'electrical stimulation', 'real time', 'brain tumor'], 4: ['recurrent neural network', 'neuron model', 'low dimensional', 'dynamical model'], 5: ['word recognition', 'encode model', 'emotion recognition', 'eeg signal']}",101.0,105.0,217.0,52.0,86.0,561.0
