vectorizer,dim_reduction,n_comp,K,collapsed,alg,CHI,DBI,SIL,CV_COHERENCE,NPMI_COHERENCE,top_keywords,rank_SIL,rank_CHI,rank_DBI,rank_CV,rank_NPMI,rank_total
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,4,False,Agglomerative,528.4209594726562,0.8081838969981855,0.5902412533760071,0.5888793029916075,-0.1887804219996654,"{0: ['deep reinforcement learn', 'financial time series', 'drl agent', 'portfolio allocation'], 1: ['stock price', 'indian stock market', 'portfolio design', 'return level'], 2: ['covariance matrix', 'robust optimization', 'black litterman', 'portfolio model'], 3: ['quantum computer', 'quantum algorithm', 'quantum inspire', 'base quantum']}",18.0,32.0,14.0,10.0,16.0,90.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,4,False,KMeans,598.1821899414062,0.8895078867088846,0.5994669795036316,0.44935733748034123,-0.1638646680649301,"{0: ['deep reinforcement learn', 'financial time series', 'drl agent', 'result demonstrate'], 1: ['quantum computer', 'quantum inspire', 'quantum algorithm', 'base quantum'], 2: ['robust optimization', 'risky asset', 'distributionally robust', 'uncertainty set'], 3: ['minimum variance portfolio', 'markowitz portfolio', 'stock price', 'portfolio design']}",11.0,16.0,32.0,65.0,10.0,134.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,4,False,FCM,721.0960083007812,0.8713744005499982,0.5925729870796204,0.4350075508976625,-0.20287475066410968,"{0: ['robust optimization', 'risky asset', 'stochastic factor', 'distributionally robust'], 1: ['deep reinforcement learn', 'financial time series', 'drl agent', 'market dynamic'], 2: ['minimum variance portfolio', 'stock price', 'portfolio design', 'indian stock market'], 3: ['quantum computer', 'quantum algorithm', 'quantum inspire', 'base quantum']}",16.0,4.0,24.0,84.5,24.5,153.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,3,False,KMeans,757.8846435546875,0.6020634902830037,0.7097903490066528,0.4642982351311278,-0.2699225849873088,"{0: ['deep reinforcement learn', 'investment strategy', 'financial time series', 'large language model'], 1: ['quantum computer', 'np hard', 'quantum algorithm', 'quantum inspire'], 2: ['covariance matrix', 'risk measure', 'risk management', 'robust optimization']}",2.0,1.0,2.0,47.5,101.0,153.5
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,4,False,Agglomerative,524.3547973632812,0.880275163473824,0.5905023217201233,0.43831578860150877,-0.16376934406107982,"{0: ['markowitz portfolio', 'stock price', 'portfolio design', 'indian stock market'], 1: ['robust optimization', 'risky asset', 'closed form', 'distributionally robust'], 2: ['deep reinforcement learn', 'financial time series', 'drl agent', 'result demonstrate'], 3: ['quantum computer', 'quantum inspire', 'quantum algorithm', 'base quantum']}",17.0,35.0,27.0,80.0,9.0,168.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,10,3,False,FCM,616.5254516601562,0.6499625945243179,0.6660029292106628,0.4642982351311278,-0.26992258498730876,"{0: ['covariance matrix', 'risk measure', 'risk management', 'robust optimization'], 1: ['deep reinforcement learn', 'investment strategy', 'large language model', 'financial time series'], 2: ['quantum computer', 'np hard', 'quantum inspire', 'quantum algorithm']}",8.0,9.0,9.0,47.5,100.0,173.5
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,4,False,FCM,536.1361083984375,0.8801984079827869,0.5939857959747314,0.4350075508976625,-0.20287475066410968,"{0: ['robust optimization', 'risky asset', 'distributionally robust', 'stochastic factor'], 1: ['deep reinforcement learn', 'financial time series', 'drl agent', 'market dynamic'], 2: ['quantum computer', 'quantum algorithm', 'quantum inspire', 'base quantum'], 3: ['minimum variance portfolio', 'stock price', 'indian stock market', 'portfolio design']}",14.0,28.0,26.0,84.5,24.5,177.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,5,False,Agglomerative,457.09619140625,0.8540398934584893,0.5984565019607544,0.5085636236716351,-0.25523016559920814,"{0: ['deep reinforcement learn', 'financial time series', 'investment strategy', 'drl agent'], 1: ['robust optimization', 'utility function', 'risky asset', 'closed form'], 2: ['markowitz portfolio', 'black litterman', 'factor model', 'number asset'], 3: ['quantum computer', 'quantum inspire', 'quantum algorithm', 'base quantum'], 4: ['indian stock market', 'return level', 'portfolio design', 'cumulative return']}",12.0,60.0,19.0,18.0,78.0,187.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,6,False,FCM,574.70263671875,0.9285559633863122,0.5669525265693665,0.4826512660033437,-0.2488593911687941,"{0: ['robust optimization', 'expect return', 'asset return', 'distributionally robust'], 1: ['deep reinforcement learn', 'deep learning', 'financial time series', 'drl agent'], 2: ['stock price', 'indian stock market', 'portfolio design', 'hierarchical risk parity'], 3: ['utility function', 'stochastic factor', 'risky asset', 'price process'], 4: ['minimum variance portfolio', 'sparse portfolio', 'mutual fund', 'high dimensional'], 5: ['quantum computer', 'np hard', 'quantum inspire', 'quantum algorithm']}",24.0,20.0,50.0,32.0,63.0,189.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,5,4,False,Agglomerative,630.5288696289062,0.661839607294733,0.6201133728027344,0.45851564334124195,-0.2909544511913147,"{0: ['deep reinforcement learn', 'investment strategy', 'financial time series', 'generative model'], 1: ['indian stock market', 'return level', 'portfolio design', 'cumulative return'], 2: ['covariance matrix', 'robust optimization', 'minimum variance portfolio', 'option pricing'], 3: ['quantum computer', 'quantum inspire', 'quantum algorithm', 'base quantum']}",10.0,6.0,10.0,58.0,130.0,214.0
sentence-transformers/all-MiniLM-L6-v2,UMAP,15,7,False,FCM,474.4455871582031,0.9555963768667873,0.5551989078521729,0.4646841689465094,-0.24518793917844034,"{0: ['robust optimization', 'uncertainty set', 'distributionally robust', 'heavy tail'], 1: ['large language model', 'financial time series', 'cross sectional', 'return prediction'], 2: ['deep reinforcement learn', 'drl agent', 'transfer risk', 'reinforcement learn rl'], 3: ['stock price', 'indian stock market', 'portfolio design', 'hierarchical risk parity'], 4: ['sparse portfolio', 'minimum variance portfolio', 'mutual fund', 'number asset'], 5: ['quantum computer', 'branch bound', 'np hard', 'quantum algorithm'], 6: ['utility function', 'stochastic factor', 'risky asset', 'price process']}",29.0,53.0,71.0,46.0,57.0,256.0
